date,open,high,low,close,volume
6/02/2012,2.0733,2.1267,2.07,2.12,652162
7/02/2012,2.12,2.12,2.0547,2.1067,1021523
8/02/2012,2.1067,2.134,2.086,2.1287,623638
9/02/2012,2.1333,2.1933,2.0953,2.172,1277969
10/02/2012,2.1506,2.1513,1.9893,2.0733,1874105
13/02/2012,2.1033,2.1373,2.06,2.0993,1157837
14/02/2012,2.116,2.2526,2.0933,2.2113,1811334
15/02/2012,2.2067,2.294,2.1513,2.24,2764479
16/02/2012,2.2334,2.3007,2.1694,2.2787,2219677
17/02/2012,2.266,2.3313,2.2333,2.3313,1376623
21/02/2012,2.3247,2.3247,2.254,2.3,1135789
22/02/2012,2.3,2.3146,2.1666,2.2813,1654958
23/02/2012,2.266,2.3313,2.2373,2.302,820346
24/02/2012,2.282,2.3013,2.218,2.25,959867
27/02/2012,2.2273,2.2666,2.2,2.2413,605943
28/02/2012,2.2427,2.296,2.2113,2.254,612184
29/02/2012,2.254,2.2746,2.2093,2.2273,535675
1/03/2012,2.234,2.3,2.2203,2.294,703436
2/03/2012,2.2933,2.3,2.2473,2.2693,549962
5/03/2012,2.29,2.2933,2.2306,2.2513,466930
6/03/2012,2.2166,2.2186,2.1746,2.2073,573739
7/03/2012,2.208,2.221,2.194,2.208,364831
8/03/2012,2.2074,2.2327,2.2027,2.2047,633279
9/03/2012,2.2133,2.354,2.2133,2.316,1553425
12/03/2012,2.3127,2.4194,2.3067,2.4007,1964555
13/03/2012,2.434,2.4393,2.3667,2.406,1001644
14/03/2012,2.4,2.4,2.32,2.3527,851479
15/03/2012,2.352,2.3653,2.3186,2.3333,571587
16/03/2012,2.3267,2.3927,2.322,2.3547,729249
19/03/2012,2.3507,2.3547,2.3027,2.332,1015587
20/03/2012,2.332,2.3467,2.3047,2.3307,567011
21/03/2012,2.3293,2.3533,2.3066,2.3433,607093
22/03/2012,2.3313,2.3433,2.2866,2.2933,522344
23/03/2012,2.284,2.3087,2.21,2.272,1170568
26/03/2012,2.3726,2.5393,2.3361,2.4933,3140844
27/03/2012,2.4773,2.6633,2.4686,2.5293,2540015
28/03/2012,2.5186,2.5626,2.474,2.5233,954956
29/03/2012,2.546,2.546,2.4687,2.4887,796349
30/03/2012,2.5014,2.5294,2.4454,2.4827,886327
2/04/2012,2.4887,2.5314,2.4354,2.4387,1028522
3/04/2012,2.4467,2.5646,2.4447,2.534,1104151
4/04/2012,2.3513,2.366,2.3126,2.3333,4482744
5/04/2012,2.34,2.3627,2.294,2.2987,1509506
9/04/2012,2.2733,2.286,2.2067,2.21,1655807
10/04/2012,2.21,2.2566,2.14,2.164,1847671
11/04/2012,2.216,2.2193,2.134,2.206,1105448
12/04/2012,2.2513,2.2986,2.1946,2.2293,1034137
13/04/2012,2.2626,2.2693,2.19,2.2393,649569
16/04/2012,2.2273,2.2467,2.1393,2.15,1099752
17/04/2012,2.162,2.2046,2.136,2.1493,1115518
18/04/2012,2.1393,2.1833,2.102,2.1773,823082
19/04/2012,2.1834,2.2287,2.1667,2.2107,774893
20/04/2012,2.2094,2.2487,2.196,2.2107,821790
23/04/2012,2.1906,2.198,2.114,2.1293,890699
24/04/2012,2.1213,2.1466,2.0666,2.1213,674455
25/04/2012,2.138,2.1993,2.138,2.194,712134
26/04/2012,2.1974,2.2347,2.194,2.2327,427627
27/04/2012,2.24,2.242,2.194,2.2227,590216
30/04/2012,2.218,2.224,2.172,2.2087,413956
1/05/2012,2.2087,2.2807,2.2087,2.252,658948
2/05/2012,2.2334,2.2927,2.226,2.2627,497260
3/05/2012,2.2607,2.2667,2.142,2.164,842108
4/05/2012,2.1547,2.164,2.0933,2.122,1247487
7/05/2012,2.1307,2.172,2.1074,2.1647,1157992
8/05/2012,2.1667,2.1819,1.958,2.0127,3097245
9/05/2012,2.02,2.0513,1.984,2.004,1947830
10/05/2012,2.198,2.312,2.16,2.1973,5556205
11/05/2012,2.166,2.2293,2.144,2.15,1221206
14/05/2012,2.128,2.142,2.0033,2.004,1380843
15/05/2012,2.0173,2.064,1.948,1.962,1585684
16/05/2012,1.972,2.012,1.9253,1.9453,1257168
17/05/2012,1.9534,1.986,1.8827,1.9047,1149068
18/05/2012,1.8913,1.8973,1.7886,1.8373,1616453
21/05/2012,1.8387,1.9507,1.808,1.918,1475172
